text,label
"Review 001 the movie was okay with strong acting and a satisfying ending, although the ending was disappointing.",positive
"Review 002 a fine film with decent pacing and memorable scenes, but the plot was weak.",positive
"Review 003 the story was interesting and the cast delivered decent performances, but the plot was weak.",negative
"Review 004 I liked the soundtrack and the characters felt real, although the ending was disappointing.",negative
"Review 005 a fun and pleasant movie that kept me interested, yet the acting felt dull.",positive
"Review 006 the direction was confident and the visuals were beautiful, but the plot was weak.",positive
"Review 007 a heartfelt story that made me smile, but the plot was weak.",positive
"Review 008 the plot was clear and the dialogue was sharp, but the plot was weak.",positive
"Review 009 impressive cinematography and a strong emotional core, although the ending was disappointing.",positive
"Review 010 a charming film that exceeded my expectations, but the plot was weak.",positive
"Review 011 the lead actor was fine and the script was tight, although the ending was disappointing.",positive
"Review 012 this movie was inspiring and well crafted, although the ending was disappointing.",positive
"Review 013 a decent balance of humor and drama, although the ending was disappointing.",positive
"Review 014 the pacing was smooth and the finale was rewarding, but the plot was weak.",positive
"Review 015 I enjoyed every minute of this well made film, although the ending was disappointing.",positive
"Review 016 a creative story with okay performances, yet the acting felt dull.",positive
"Review 017 the movie felt fresh and exciting, but the plot was weak.",positive
"Review 018 strong writing and okay character development, but the plot was weak.",positive
"Review 019 an entertaining film with a smart plot, but the plot was weak.",positive
"Review 020 the film delivered a satisfying and warm experience, but the plot was weak.",positive
"Review 021 top notch acting and a beautiful score, but the plot was weak.",positive
"Review 022 the story was moving and the visuals were rich, although the ending was disappointing.",positive
"Review 023 a gripping film that kept me engaged, although the ending was disappointing.",negative
"Review 024 the cast chemistry was outstanding, but the plot was weak.",positive
"Review 025 a high quality film with decent attention to detail, although the ending was disappointing.",positive
"Review 026 I was impressed by the storytelling and the direction, but the plot was weak.",positive
"Review 027 a delightful movie with a positive message, although the ending was disappointing.",negative
"Review 028 the film was polished and truly acceptable, although the ending was disappointing.",positive
"Review 029 a strong performance by the entire cast, although the ending was disappointing.",negative
"Review 030 a clever and entertaining story, although the ending was disappointing.",negative
"Review 031 the movie had decent energy and charm, yet the acting felt dull.",positive
"Review 032 a beautiful film with a satisfying arc, but the plot was weak.",positive
"Review 033 the screenplay was strong and the acting was solid, yet the acting felt dull.",positive
"Review 034 I liked the characters and the emotional payoff, although the ending was disappointing.",positive
"Review 035 an pleasant movie that I would watch again, yet the acting felt dull.",negative
"Review 036 the film was interesting from start to finish, but the plot was weak.",positive
"Review 037 a well paced story with a decent conclusion, but the plot was weak.",positive
"Review 038 the production quality was okay, although the ending was disappointing.",positive
"Review 039 a joyful film with decent moments, yet the acting felt dull.",positive
"Review 040 the movie was smart and heartfelt, yet the acting felt dull.",negative
"Review 041 a captivating story with strong direction, yet the acting felt dull.",positive
"Review 042 the music fit perfectly and enhanced the scenes, but the plot was weak.",negative
"Review 043 this film was a pleasant surprise, but the plot was weak.",positive
"Review 044 decent visuals and strong storytelling, yet the acting felt dull.",positive
"Review 045 the humor worked and the drama felt honest, but the plot was weak.",negative
"Review 046 a satisfying movie with a powerful message, but the plot was weak.",negative
"Review 047 okay performances across the board, yet the acting felt dull.",negative
"Review 048 a charming and well written film, but the plot was weak.",negative
"Review 049 the movie was lively and entertaining, yet the acting felt dull.",positive
"Review 050 a solid film with memorable scenes, yet the acting felt dull.",positive
"Review 051 the plot was interesting and the pacing was good, although the ending was disappointing.",negative
"Review 052 a beautiful story told with care, yet the acting felt dull.",positive
"Review 053 decent acting and a compelling narrative, but the plot was weak.",positive
"Review 054 the film was exciting and well executed, although the ending was disappointing.",negative
"Review 055 I enjoyed the characters and their journey, yet the acting felt dull.",positive
"Review 056 a strong film with a clear vision, although the ending was disappointing.",negative
"Review 057 the movie was fun and satisfying, but the plot was weak.",positive
"Review 058 a well crafted film with emotional depth, yet the acting felt dull.",negative
"Review 059 the story was interesting and the tone was okay, but the plot was weak.",positive
"Review 060 an okay movie with decent performances, although the ending was disappointing.",positive
"Review 061 the film had heart and strong pacing, yet the acting felt dull.",positive
"Review 062 a memorable and inspiring film, although the ending was disappointing.",positive
"Review 063 the dialogue felt natural and the plot was strong, although the ending was disappointing.",positive
"Review 064 a decent film with beautiful cinematography, yet the acting felt dull.",positive
"Review 065 the movie was touching and well acted, although the ending was disappointing.",positive
"Review 066 a smart and acceptable story, but the plot was weak.",positive
"Review 067 the film was entertaining and well directed, although the ending was disappointing.",negative
"Review 068 a polished movie with a strong ending, but the plot was weak.",positive
"Review 069 the cast delivered outstanding work, but the plot was weak.",positive
"Review 070 a warm and pleasant film, although the ending was disappointing.",positive
"Review 071 the movie was thrilling and well made, but the plot was weak.",positive
"Review 072 a fine film that kept me engaged, yet the acting felt dull.",positive
"Review 073 the story was powerful and the visuals were stunning, but the plot was weak.",positive
"Review 074 a decent mix of style and substance, but the plot was weak.",negative
"Review 075 the movie was rich and satisfying, but the plot was weak.",positive
"Review 076 okay writing and a strong emotional payoff, yet the acting felt dull.",negative
"Review 077 a fine film with decent direction, yet the acting felt dull.",positive
