text,label
"Honestly, the cinematography is so beautiful that you could frame the picture on your wall, but unfortunately, looking at a static painting would actually be more thrilling than watching this plot unfold.",negative
"It has all the ingredients of a classic: a star-studded cast, a visionary director, and a massive budget, yet somehow it is less than the sum of its parts, resulting in an incredibly hollow experience.",negative
"In conclusion, sure, the dialogue is completely unrealistic and nobody talks like that, but the magnetic chemistry between the leads is so overpowering that you simply stop caring about the script's shortcomings.",positive
"At the end of the day, i wanted to love this. The director is one of my favorites, the premise is incredibly unique, and the set design is flawless, but the pacing is so agonizingly slow that I literally fell asleep twice.",negative
"At the end of the day, it's not that the movie is devoid of flaws—there are plenty of poorly lit scenes and the soundtrack is completely forgettable—but it is impossible to deny the sheer brilliance of the lead actor.",positive
"I hated the main character, I despised the setting, and the overarching message was completely lost on me, but the action sequences were so mind-blowingly spectacular that I have to give it a positive rating.",positive
"In conclusion, i went in expecting a painful two hours of boredom based on the critics' vicious reviews, so you can imagine my shock when I found myself captivated.",positive
"At the end of the day, the cinematography is so beautiful that you could frame the picture on your wall, but unfortunately, looking at a static painting would actually be more thrilling than watching this plot unfold.",negative
"The soundtrack is incredible and the opening sequence is one of the best I've seen all year, setting expectations sky-high before the rest of the movie systematically destroys them with poor writing.",negative
"Wow, it is incredibly difficult to recommend this movie because it is essentially a grueling, depressing, and anxiety-inducing ordeal, but it is also an undeniably brilliant piece of art.",positive
"Honestly, i don't think anyone sets out to make a bad movie, and you can tell a lot of hard work went into the beautiful costumes, but none of that covers up the fact that the screenplay is an absolute disaster.",negative
"Simply put, i cannot deny that the special effects are laughably bad and the plot is completely illogical, yet the movie possesses an undeniable heart that makes it impossible to dislike.",positive
"It's beautifully shot, well-acted, and deals with profound themes of love and loss, but the complete lack of narrative momentum makes watching it feel like staring at paint drying in slow motion.",negative
"It's a complete disaster from a technical standpoint, with atrocious lighting and awful sound mixing, but the raw, unpolished passion behind the performances makes it a genuinely great experience.",positive
"There are moments of genuine brilliance here, flashes of a much better movie that could have been, but they are buried under an avalanche of pointless subplots and bafflingly stupid character decisions.",negative
"Honestly, it is incredibly difficult to recommend this movie because it is essentially a grueling, depressing, and anxiety-inducing ordeal, but it is also an undeniably brilliant piece of art.",positive
"Wow, while it avoids all the typical clichés of the genre and tries to do something completely fresh and original, it unfortunately replaces those clichés with a confusing, pretentious mess that fails to entertain.",negative
"In conclusion, i hated the main character, I despised the setting, and the overarching message was completely lost on me, but the action sequences were so mind-blowingly spectacular that I have to give it a positive rating.",positive
